Midterm_Percentage,Assignment_Percentage,Practical_Percentage,Actual_Result
50,70.83333333,NULL,1
58.33333333,91.66666667,NULL,1
76.38888889,75,NULL,1
83.33333333,95.83333333,NULL,1
40.27777778,83.33333333,NULL,1
84.72222222,100,NULL,1
13.88888889,0,NULL,0
69.44444444,100,NULL,1
68.05555556,79.16666667,NULL,1
55.55555556,54.16666667,NULL,1
70.83333333,95.83333333,NULL,1
56.94444444,75,NULL,1
58.33333333,87.5,NULL,1
8.333333333,58.33333333,NULL,0
50,83.33333333,NULL,1
69.44444444,100,NULL,1
62.5,54.16666667,NULL,1
52.77777778,50,NULL,1
11.11111111,58.33333333,NULL,1
16.66666667,54.16666667,NULL,1
87.5,95.83333333,NULL,1
27.77777778,54.16666667,NULL,0
52.77777778,0,NULL,0
58.33333333,75,NULL,1
83.33333333,83.33333333,NULL,1
66.66666667,54.16666667,NULL,1
19.44444444,50,NULL,1
11.11111111,66.66666667,NULL,1
69.44444444,83.33333333,NULL,1
88.88888889,100,NULL,1
19.44444444,41.66666667,NULL,0
86.11111111,100,NULL,1
44.44444444,54.16666667,NULL,1
35,91.66666667,NULL,1
36.11111111,75,NULL,1
66.66666667,70.83333333,NULL,1
63.88888889,79.16666667,NULL,1
8.333333333,62.5,NULL,0
88.88888889,91.66666667,NULL,1
16.66666667,58.33333333,NULL,1
75,91.66666667,NULL,1
76.38888889,91.66666667,NULL,1
8.333333333,62.5,NULL,1
31.94444444,58.33333333,NULL,1
44.44444444,79.16666667,NULL,1
22.22222222,50,NULL,1
63.88888889,75,NULL,1
16.66666667,0,NULL,0
16.66666667,41.66666667,NULL,0
83.33333333,91.66666667,NULL,1
51.38888889,91.66666667,NULL,1
22.22222222,83.33333333,NULL,1
61.11111111,0,NULL,0
44.44444444,75,NULL,1
80.55555556,87.5,NULL,1
83.33333333,75,NULL,1
87.5,83.33333333,NULL,1
27.77777778,58.33333333,NULL,1
47.22222222,87.5,NULL,1
8.333333333,0,NULL,0
27.77777778,41.66666667,NULL,0
29.16666667,58.33333333,NULL,1
2.777777778,0,NULL,0
0,50,NULL,0
55.55555556,83.33333333,NULL,1
48.61111111,75,NULL,1
44.44444444,79.16666667,NULL,1
72.22222222,79.16666667,NULL,1
55.55555556,87.5,NULL,1
76.38888889,100,NULL,1
52.77777778,0,NULL,0
44.44444444,79.16666667,NULL,1
44.44444444,87.5,NULL,1
75,75,NULL,1
33.33333333,75,NULL,1
43.05555556,50,NULL,1
90.27777778,100,NULL,1
66.66666667,79.16666667,NULL,1
88.88888889,95.83333333,NULL,1
81.94444444,100,NULL,1
73.61111111,83.33333333,NULL,1
47.22222222,83.33333333,NULL,1
52.77777778,87.5,NULL,1
77.77777778,83.33333333,NULL,1
76.38888889,83.33333333,NULL,1
36.11111111,62.5,NULL,1
77.77777778,79.16666667,NULL,1
55.55555556,58.33333333,NULL,1
19.44444444,0,NULL,0
70.83333333,62.5,NULL,1
52.77777778,95.83333333,NULL,1
25,79.16666667,NULL,1
56.94444444,87.5,NULL,1
55.55555556,79.16666667,NULL,1
75,66.66666667,NULL,1
30.55555556,50,NULL,1
84.72222222,91.66666667,NULL,1
83.33333333,79.16666667,NULL,1
84.72222222,91.66666667,NULL,1
65.27777778,83.33333333,NULL,1
52.77777778,87.5,NULL,1
19.44444444,50,NULL,0
33.33333333,91.66666667,NULL,1
41.66666667,41.66666667,NULL,1
2.777777778,0,NULL,0
41.66666667,50,NULL,1
0,50,NULL,0
55.55555556,75,NULL,1
0,54.16666667,NULL,1
47.22222222,75,NULL,1
81.94444444,91.66666667,NULL,1
69.44444444,70.83333333,NULL,1
33.33333333,100,NULL,1
33.33333333,66.66666667,NULL,1
16.66666667,79.16666667,NULL,1
27.77777778,83.33333333,NULL,1
68.05555556,83.33333333,NULL,1
41.66666667,100,NULL,1
27.77777778,54.16666667,NULL,0
72.22222222,91.66666667,NULL,1
86.11111111,66.66666667,NULL,1
77.77777778,91.66666667,NULL,1
36.11111111,62.5,NULL,1
94.44444444,0,NULL,0
27.77777778,70.83333333,NULL,1
83.33333333,100,NULL,1
97.22222222,91.66666667,NULL,1
55.55555556,62.5,NULL,1
55.55555556,58.33333333,NULL,1
75,87.5,NULL,1
72.22222222,62.5,NULL,1
47.22222222,33.33333333,NULL,1
94.44444444,83.33333333,NULL,1
75,66.66666667,NULL,1
83.33333333,83.33333333,NULL,1
63.88888889,79.16666667,NULL,1
100,91.66666667,NULL,1
8.333333333,33.33333333,NULL,0
86.11111111,91.66666667,NULL,1
75,54.16666667,NULL,1
77.77777778,66.66666667,NULL,1
97.22222222,83.33333333,NULL,1
77.77777778,70.83333333,NULL,1
27.77777778,50,NULL,1
86.11111111,91.66666667,NULL,1
30.55555556,37.5,NULL,0
66.66666667,83.33333333,NULL,1
75,75,NULL,1
86.11111111,70.83333333,NULL,1
16.66666667,41.66666667,NULL,0
86.11111111,50,NULL,1
0,0,NULL,0
69.44444444,54.16666667,NULL,1
61.11111111,54.16666667,NULL,1
25,62.5,NULL,1
80.55555556,66.66666667,NULL,1
94.44444444,87.5,NULL,1
55.55555556,70.83333333,NULL,1
33.33333333,58.33333333,NULL,1
86.11111111,83.33333333,NULL,1
94.44444444,91.66666667,NULL,1
22.22222222,33.33333333,NULL,0
50,91.66666667,NULL,1
61.11111111,62.5,NULL,1
58.33333333,66.66666667,NULL,1
80.55555556,70.83333333,NULL,1
77.77777778,75,NULL,1
25,33.33333333,NULL,0
83.33333333,91.66666667,NULL,1
80.55555556,79.16666667,NULL,1
75,70.83333333,NULL,1
63.88888889,45.83333333,NULL,1
61.11111111,75,NULL,1
97.22222222,95.83333333,NULL,1
58.33333333,62.5,NULL,1
75,79.16666667,NULL,1
58.33333333,54.16666667,NULL,1
77.77777778,62.5,NULL,1
22.22222222,0,NULL,0
88.88888889,83.33333333,NULL,1
77.77777778,87.5,NULL,1
50,41.66666667,NULL,1
88.88888889,83.33333333,NULL,1
83.33333333,70.83333333,NULL,1
0,0,NULL,0
91.66666667,66.66666667,NULL,1
61.11111111,45.83333333,NULL,1
88.88888889,70.83333333,NULL,1
30.55555556,50,NULL,0
50,62.5,NULL,0
80.55555556,91.66666667,NULL,1
63.88888889,66.66666667,NULL,1
80.55555556,62.5,NULL,1
50,62.5,NULL,1
30.55555556,58.33333333,NULL,1
0,0,NULL,0
41.66666667,0,NULL,0
91.66666667,66.66666667,NULL,1
30.55555556,45.83333333,NULL,0
86.11111111,100,NULL,1
75,83.33333333,NULL,1
2.777777778,29.16666667,NULL,0
47.22222222,62.5,NULL,1
97.22222222,75,NULL,1
100,91.66666667,NULL,1
50,70.83333333,NULL,1
88.88888889,87.5,NULL,1
61.11111111,45.83333333,NULL,1
69.44444444,83.33333333,NULL,1
75,62.5,NULL,1
41.66666667,54.16666667,NULL,1
22.22222222,33.33333333,NULL,0
100,87.5,NULL,1
63.88888889,75,NULL,1
69.44444444,50,NULL,1
0,0,NULL,0
19.44444444,0,NULL,0
69.44444444,66.66666667,NULL,1
100,87.5,NULL,1
25,45.83333333,NULL,1
25,0,NULL,0
50,54.16666667,NULL,1
100,87.5,NULL,1
75,45.83333333,NULL,1
38.88888889,70.83333333,NULL,1
55.55555556,54.16666667,NULL,0
75,91.66666667,NULL,1
83.33333333,66.66666667,NULL,1
75,66.66666667,NULL,1
97.22222222,83.33333333,NULL,1
63.88888889,0,NULL,0
72.22222222,50,NULL,1
80.55555556,70.83333333,NULL,1
66.66666667,0,NULL,0
91.66666667,66.66666667,NULL,1
55.55555556,70.83333333,NULL,1
77.77777778,70.83333333,NULL,1
80.55555556,58.33333333,NULL,1
86.11111111,87.5,NULL,1
77.77777778,79.16666667,NULL,1
77.77777778,87.5,NULL,1
30.55555556,66.66666667,NULL,1
52.77777778,70.83333333,NULL,1
27.77777778,25,NULL,0
44.44444444,45.83333333,NULL,1
44.44444444,45.83333333,NULL,1
50,37.5,NULL,1
25,37.5,NULL,0
61.11111111,37.5,NULL,1
13.88888889,45.83333333,NULL,0
75,100,NULL,1
91.66666667,62.5,NULL,1
88.88888889,95.83333333,NULL,1
80.55555556,66.66666667,NULL,1
86.11111111,95.83333333,NULL,1
86.11111111,83.33333333,NULL,1
88.88888889,79.16666667,NULL,1
27.77777778,58.33333333,NULL,1
88.88888889,83.33333333,NULL,1
75,79.16666667,NULL,1
44.44444444,25,NULL,1
5.555555556,0,NULL,0
69.44444444,54.16666667,NULL,1
80.55555556,83.33333333,NULL,1
75,87.5,NULL,1
50,37.5,NULL,1
13.88888889,29.16666667,NULL,0
44.44444444,33.33333333,NULL,0
52.77777778,75,NULL,1
50,79.16666667,NULL,1
97.22222222,95.83333333,NULL,1
0,0,NULL,0
77.77777778,62.5,NULL,1
52.77777778,58.33333333,NULL,1
30.55555556,58.33333333,NULL,1
52.77777778,66.66666667,NULL,1
47.22222222,66.66666667,NULL,1
63.88888889,58.33333333,NULL,1
50,33.33333333,NULL,1
66.66666667,45.83333333,NULL,1
0,0,NULL,0
8.333333333,45.83333333,NULL,0
5.555555556,41.66666667,NULL,0
58.33333333,50,NULL,1
61.11111111,54.16666667,NULL,1
25,50,NULL,1
80.55555556,75,NULL,1
75,58.33333333,NULL,1
38.88888889,45.83333333,NULL,0
38.33333333,0,NULL,0
25,45.83333333,NULL,0
91.66666667,91.66666667,NULL,1
41.66666667,29.16666667,NULL,1
75,66.66666667,NULL,1
66.66666667,45.83333333,NULL,1
11.11111111,0,NULL,0
47.22222222,50,NULL,1
38.88888889,45.83333333,NULL,0
22.22222222,83.33333333,NULL,1
63.88888889,58.33333333,NULL,1
55.55555556,66.66666667,NULL,1
61.11111111,75,NULL,1
58.33333333,62.5,NULL,1
66.66666667,58.33333333,NULL,1
66.66666667,54.16666667,NULL,1
91.66666667,79.16666667,NULL,1
50,54.16666667,NULL,1
55.55555556,75,NULL,1
41.66666667,54.16666667,NULL,1
27.77777778,37.5,NULL,0
77.77777778,75,NULL,1
22.22222222,62.5,NULL,0
50,75,NULL,1
77.77777778,70.83333333,NULL,1
52.77777778,41.66666667,NULL,0
0,0,NULL,0
72.22222222,70.83333333,NULL,1
55.55555556,66.66666667,NULL,1
38.88888889,45.83333333,NULL,1
33.33333333,50,NULL,0
80.55555556,66.66666667,NULL,1
80.55555556,87.5,NULL,1
44.44444444,75,NULL,1
41.66666667,0,NULL,0
52.77777778,58.33333333,NULL,1
75,91.66666667,NULL,1
33.33333333,70.83333333,NULL,1
80.55555556,66.66666667,NULL,1
61.11111111,58.33333333,NULL,1
83.33333333,66.66666667,NULL,1
44.44444444,0,NULL,0
94.44444444,75,NULL,1
61.11111111,75,NULL,1
88.88888889,79.16666667,NULL,1
91.66666667,66.66666667,NULL,1
58.33333333,79.16666667,NULL,1
69.44444444,70.83333333,NULL,1
50,54.16666667,NULL,1
22.22222222,41.66666667,NULL,0
47.22222222,75,NULL,1
22.22222222,91.66666667,NULL,1
100,54.16666667,NULL,1
63.88888889,37.5,NULL,1
22.22222222,50,NULL,0
72.22222222,58.33333333,NULL,1
41.66666667,62.5,NULL,1
77.77777778,83.33333333,NULL,1
91.66666667,83.33333333,NULL,1
83.33333333,100,NULL,1
88.88888889,87.5,NULL,1
16.66666667,41.66666667,NULL,0
72.22222222,33.33333333,NULL,1
75,50,NULL,1
83.33333333,79.16666667,NULL,1
100,87.5,NULL,1
52.77777778,79.16666667,NULL,1
77.77777778,66.66666667,NULL,1
72.22222222,50,NULL,1
36.11111111,0,NULL,0
83.33333333,83.33333333,NULL,1
47.22222222,50,NULL,1
75,75,NULL,1
47.22222222,70.83333333,NULL,1
83.33333333,58.33333333,NULL,1
63.88888889,70.83333333,NULL,1
44.44444444,66.66666667,NULL,1
86.11111111,50,NULL,1
75,62.5,NULL,1
72.22222222,75,NULL,1
66.66666667,62.5,NULL,1
66.66666667,66.66666667,NULL,1
66.66666667,0,NULL,0
94.44444444,70.83333333,NULL,1
0,0,NULL,0
0,0,NULL,0
97.22222222,66.66666667,NULL,1
27.77777778,25,NULL,0
25,62.5,NULL,1
97.22222222,45.83333333,NULL,1
38.88888889,75,NULL,1
36.11111111,0,NULL,0
75,62.5,NULL,1
52.77777778,58.33333333,NULL,1
88.88888889,100,NULL,1
75,66.66666667,NULL,1
58.33333333,58.33333333,NULL,1
41.66666667,41.66666667,NULL,1
61.11111111,75,NULL,1
58.33333333,62.5,NULL,1
97.22222222,79.16666667,NULL,1
94.44444444,50,NULL,1
75,62.5,NULL,1
75,75,NULL,1
66.66666667,54.16666667,NULL,1
72.22222222,54.16666667,NULL,1
36.11111111,50,NULL,1
19.44444444,54.16666667,NULL,0
47.22222222,75,NULL,1
44.44444444,0,NULL,0
72.22222222,79.16666667,NULL,1
63.88888889,70.83333333,NULL,1
91.66666667,79.16666667,NULL,1
41.66666667,66.66666667,NULL,1
66.66666667,58.33333333,NULL,1
47.22222222,45.83333333,NULL,1
80.55555556,75,NULL,1
0,0,NULL,0
33.33333333,33.33333333,NULL,0
91.66666667,83.33333333,NULL,1
80.55555556,70.83333333,NULL,1
0,0,NULL,0
52.77777778,37.5,NULL,1
27.77777778,58.33333333,NULL,0
31.66666667,91.66666667,NULL,1
66.66666667,66.66666667,NULL,1
77.77777778,83.33333333,NULL,1
75,70.83333333,NULL,1
72.22222222,83.33333333,NULL,1
88.88888889,70.83333333,NULL,1
72.22222222,75,NULL,1
66.66666667,66.66666667,NULL,1
80.55555556,87.5,NULL,1
36.11111111,50,NULL,1
50,0,NULL,0
72.22222222,66.66666667,NULL,1
91.66666667,95.83333333,NULL,1
83.33333333,50,NULL,1
0,0,NULL,0
63.88888889,37.5,NULL,1
75,79.16666667,NULL,1
83.33333333,83.33333333,NULL,1
0,0,NULL,0
66.66666667,70.83333333,NULL,1
80.55555556,66.66666667,NULL,1
75,70.83333333,NULL,1
58.33333333,66.66666667,NULL,1
75,62.5,NULL,1
75,95.83333333,NULL,1
69.44444444,41.66666667,NULL,1
47.22222222,62.5,NULL,1
97.22222222,91.66666667,NULL,1
66.66666667,66.66666667,NULL,1
61.11111111,70.83333333,NULL,1
100,54.16666667,NULL,1
83.33333333,75,NULL,1
91.66666667,54.16666667,NULL,1
13.88888889,33.33333333,NULL,1
100,75,NULL,1
86.11111111,54.16666667,NULL,1
50,0,NULL,0
80.55555556,70.83333333,NULL,1
91.66666667,62.5,NULL,1
88.88888889,91.66666667,NULL,1
55.55555556,0,NULL,0
69.44444444,50,NULL,1
66.66666667,75,NULL,1
100,91.66666667,NULL,1
83.33333333,45.83333333,NULL,1
100,79.16666667,NULL,1
41.66666667,50,NULL,1
55.55555556,50,NULL,0
75,83.33333333,NULL,1
63.88888889,75,NULL,1
41.66666667,41.66666667,NULL,1
36.11111111,66.66666667,NULL,1
80.55555556,83.33333333,NULL,1
83.33333333,83.33333333,NULL,1
44.44444444,58.33333333,NULL,1
66.66666667,58.33333333,NULL,1
63.88888889,50,NULL,1
22.22222222,0,NULL,0
52.77777778,45.83333333,NULL,1
47.22222222,50,NULL,1
22.22222222,45.83333333,NULL,0
66.66666667,50,NULL,1
52.77777778,50,NULL,1
38.88888889,58.33333333,NULL,1
33.33333333,66.66666667,NULL,1
63.88888889,70.83333333,NULL,1
25,29.16666667,NULL,0
100,50,NULL,1
100,79.16666667,NULL,1
86.11111111,62.5,NULL,1
83.33333333,50,NULL,1
86.11111111,75,NULL,1
66.66666667,58.33333333,NULL,1
61.11111111,66.66666667,NULL,1
63.88888889,45.83333333,NULL,1
83.33333333,41.66666667,NULL,1
33.33333333,0,NULL,0
83.33333333,79.16666667,NULL,1
0,0,NULL,0
91.66666667,87.5,NULL,1
72.22222222,75,NULL,1
47.22222222,0,NULL,0
72.22222222,70.83333333,NULL,1
100,62.5,NULL,1
66.66666667,58.33333333,NULL,1
88.88888889,58.33333333,NULL,1
63.88888889,62.5,NULL,1
86.11111111,91.66666667,NULL,1
30.55555556,41.66666667,NULL,1
36.11111111,0,NULL,0
36.11111111,0,NULL,0
75,37.5,NULL,1
61.11111111,54.16666667,NULL,1
88.88888889,58.33333333,NULL,1
94.44444444,91.66666667,NULL,1
100,91.66666667,NULL,1
66.66666667,70.83333333,NULL,1
100,95.83333333,NULL,1
75,62.5,NULL,1
63.88888889,54.16666667,NULL,1
58.33333333,66.66666667,NULL,1
97.22222222,75,NULL,1
72.22222222,0,NULL,0
38.88888889,50,NULL,1
83.33333333,58.33333333,NULL,1
77.77777778,70.83333333,NULL,1
50,50,NULL,1
88.88888889,66.66666667,NULL,1
72.22222222,41.66666667,NULL,1
61.11111111,75,NULL,1
97.22222222,75,NULL,1
63.88888889,58.33333333,NULL,1
80.55555556,79.16666667,NULL,1
44.44444444,0,NULL,0
41.66666667,83.33333333,NULL,1
88.88888889,54.16666667,NULL,1
94.44444444,58.33333333,NULL,1
19.44444444,66.66666667,NULL,1
55.55555556,91.66666667,NULL,1
55.55555556,91.66666667,NULL,1
77.77777778,83.33333333,NULL,1
41.66666667,83.33333333,NULL,1
41.66666667,100,NULL,1
47.22222222,100,NULL,1
66.66666667,100,NULL,1
50,100,NULL,1
52.77777778,91.66666667,NULL,1
0,0,NULL,0
38.88888889,75,NULL,1
47.22222222,91.66666667,NULL,1
61.11111111,100,NULL,1
75,100,NULL,1
83.33333333,100,NULL,1
66.66666667,91.66666667,NULL,1
58.33333333,91.66666667,NULL,1
72.22222222,83.33333333,NULL,1
58.33333333,83.33333333,NULL,1
75,91.66666667,NULL,1
83.33333333,100,NULL,1
66.66666667,75,NULL,1
0,0,NULL,0
0,0,NULL,0
0,41.66666667,NULL,0
61.66666667,100,NULL,1
33.33333333,91.66666667,NULL,1
77.77777778,100,NULL,1
94.44444444,100,NULL,1
19.44444444,100,NULL,1
72.22222222,100,NULL,1
50,100,NULL,1
63.88888889,100,NULL,1
55.55555556,100,NULL,1
91.66666667,100,NULL,1
66.66666667,100,NULL,1
80.55555556,100,NULL,1
75,75,NULL,1
88.88888889,100,NULL,1
33.33333333,100,NULL,1
30.55555556,100,NULL,1
0,0,NULL,0
75,100,NULL,1
75,83.33333333,NULL,1
77.77777778,100,NULL,1
50,75,NULL,1
41.66666667,100,NULL,1
66.66666667,83.33333333,NULL,1
63.88888889,83.33333333,NULL,1
33.33333333,91.66666667,NULL,1
63.88888889,100,NULL,1
75,100,NULL,1
0,0,NULL,0
55.55555556,100,NULL,1
55.55555556,100,NULL,1
69.44444444,100,NULL,1
58.33333333,75,NULL,1
77.77777778,91.66666667,NULL,1
33.33333333,91.66666667,NULL,1
22.22222222,91.66666667,NULL,1
72.22222222,83.33333333,NULL,1
61.11111111,83.33333333,NULL,1
80.55555556,91.66666667,NULL,1
77.77777778,100,NULL,1
72.22222222,91.66666667,NULL,1
77.77777778,100,NULL,1
44.44444444,83.33333333,NULL,1
0,0,NULL,0
44.44444444,100,NULL,1
55.55555556,100,NULL,1
86.11111111,100,NULL,1
83.33333333,100,NULL,1
58.33333333,100,NULL,1
50,91.66666667,NULL,1
75,100,NULL,1
47.22222222,91.66666667,NULL,1
55.55555556,100,NULL,1
47.22222222,100,NULL,1
38.88888889,100,NULL,1
0,0,NULL,0
27.77777778,0,NULL,0
63.88888889,95.83333333,NULL,1
69.44444444,83.33333333,NULL,1
66.66666667,100,NULL,1
66.66666667,100,NULL,1
66.66666667,100,NULL,1
30.55555556,0,NULL,0
55.55555556,0,NULL,0
88,75,NULL,1
52.77777778,66.66666667,NULL,1
58.33333333,100,NULL,1
41.66666667,91.66666667,NULL,1
58.33333333,83.33333333,NULL,1
52.77777778,100,NULL,1
61.11111111,66.66666667,NULL,1
5.555555556,50,NULL,0
30.55555556,83.33333333,NULL,1
69.44444444,100,NULL,1
72.22222222,91.66666667,NULL,1
80.55555556,100,NULL,1
47.22222222,83.33333333,NULL,1
27.77777778,66.66666667,NULL,1
69.44444444,83.33333333,NULL,1
58.33333333,100,NULL,1
72.22222222,100,NULL,1
58.33333333,0,NULL,0
38.88888889,100,NULL,1
69.44444444,100,NULL,1
69.44444444,100,NULL,1
75,83.33333333,NULL,1
55.55555556,75,NULL,1
44.44444444,100,NULL,1
44.44444444,66.66666667,NULL,1
58.33333333,91.66666667,NULL,1
33.33333333,91.66666667,NULL,1
50,100,NULL,1
38.88888889,100,NULL,1
66.66666667,100,NULL,1
50,91.66666667,NULL,1
0,0,NULL,0
66.66666667,100,NULL,1
44.44444444,100,NULL,1
25,91.66666667,NULL,1
83.33333333,100,NULL,1
83.33333333,100,NULL,1
16.66666667,91.66666667,NULL,1
75,83.33333333,NULL,1
33.33333333,91.66666667,NULL,1
61.11111111,83.33333333,NULL,1
63.88888889,75,NULL,1
80.55555556,83.33333333,NULL,1
77.77777778,83.33333333,NULL,1
38.88888889,91.66666667,NULL,1
80.55555556,91.66666667,NULL,1
41.66666667,91.66666667,NULL,1
44.44444444,91.66666667,NULL,1
36.11111111,100,NULL,1
58.33333333,75,NULL,1
50,91.66666667,NULL,1
72.22222222,100,NULL,1
69.44444444,91.66666667,NULL,1
66.66666667,0,NULL,0
88.88888889,75,NULL,1
66.66666667,83.33333333,NULL,1
36.11111111,66.66666667,NULL,1
52.77777778,100,NULL,1
52.77777778,83.33333333,NULL,1
44.44444444,66.66666667,NULL,1
52.77777778,91.66666667,NULL,1
30.55555556,91.66666667,NULL,1
63.88888889,100,NULL,1
69.44444444,91.66666667,NULL,1
63.88888889,83.33333333,NULL,1
55.55555556,91.66666667,NULL,1
50,100,NULL,1
66.66666667,83.33333333,NULL,1
41.66666667,100,NULL,1
63.88888889,100,NULL,1
63.88888889,83.33333333,NULL,1
61.11111111,100,NULL,1
66.66666667,83.33333333,NULL,1
50,66.66666667,NULL,1
63.88888889,91.66666667,NULL,1
69.44444444,83.33333333,NULL,1
83.33333333,75,NULL,1
97.22222222,75,NULL,1
97.22222222,91.66666667,NULL,1
97.22222222,100,NULL,1
66.66666667,66.66666667,NULL,1
83.33333333,100,NULL,1
75,91.66666667,NULL,1
77.77777778,50,NULL,1
80.55555556,100,NULL,1
97.22222222,100,NULL,1
97.22222222,100,NULL,1
22.22222222,83.33333333,NULL,1
86.11111111,91.66666667,NULL,1
97.22222222,91.66666667,NULL,1
91.66666667,75,NULL,1
88.88888889,100,NULL,1
94.44444444,58.33333333,NULL,1
100,100,NULL,1
94.44444444,91.66666667,NULL,1
63.88888889,66.66666667,NULL,1
61.11111111,83.33333333,NULL,1
91.66666667,100,NULL,1
66.66666667,75,NULL,1
0,0,NULL,0
66.66666667,66.66666667,NULL,1
83.33333333,91.66666667,NULL,1
80.55555556,91.66666667,NULL,1
66.66666667,100,NULL,1
0,0,NULL,0
94.44444444,91.66666667,NULL,1
91.66666667,91.66666667,NULL,1
83.33333333,58.33333333,NULL,1
83.33333333,66.66666667,NULL,1
91.66666667,91.66666667,NULL,1
88.88888889,83.33333333,NULL,1
0,0,NULL,0
94.44444444,100,NULL,1
100,100,NULL,1
86.11111111,83.33333333,NULL,1
86.11111111,100,NULL,1
0,75,NULL,1
100,100,NULL,1
41.66666667,50,NULL,1
0,100,NULL,1
55.55555556,83.33333333,NULL,1
75,83.33333333,NULL,1
58.33333333,0,NULL,0
61.11111111,100,NULL,1
88.88888889,100,NULL,1
41.66666667,58.33333333,NULL,1
94.44444444,100,NULL,1
88.88888889,91.66666667,NULL,1
77.77777778,91.66666667,NULL,1
91.66666667,75,NULL,1
58.33333333,91.66666667,NULL,1
69.44444444,100,NULL,1
91.66666667,100,NULL,1
55.55555556,75,NULL,1
80.55555556,91.66666667,NULL,1
80.55555556,66.66666667,NULL,1
97.22222222,75,NULL,1
91.66666667,100,NULL,1
38.88888889,50,NULL,1
0,0,NULL,0
88.88888889,100,NULL,1
91.66666667,100,NULL,1
72.22222222,83.33333333,NULL,1
80.55555556,83.33333333,NULL,1
86.11111111,83.33333333,NULL,1
75,100,NULL,1
80.55555556,83.33333333,NULL,1
94.44444444,100,NULL,1
91.66666667,100,NULL,1
77.77777778,83.33333333,NULL,1
0,0,NULL,0
72.22222222,83.33333333,NULL,1
77.77777778,66.66666667,NULL,1
75,83.33333333,NULL,1
61.11111111,0,NULL,0
61.11111111,91.66666667,NULL,1
72.22222222,100,NULL,1
72.22222222,83.33333333,NULL,1
55.55555556,83.33333333,NULL,1
55.55555556,83.33333333,NULL,1
0,66.66666667,NULL,1
72.22222222,83.33333333,NULL,1
58.33333333,50,NULL,1
72.22222222,83.33333333,NULL,1
0,0,NULL,0
0,0,NULL,0
66.66666667,66.66666667,NULL,1
77.77777778,75,NULL,1
75,58.33333333,NULL,1
69.44444444,75,NULL,1
0,50,NULL,0
0,66.66666667,NULL,1
66.66666667,75,NULL,1
69.44444444,83.33333333,NULL,1
0,0,NULL,0
75,66.66666667,NULL,1
61.11111111,66.66666667,NULL,1
0,0,NULL,0
69.44444444,83.33333333,NULL,1
63.88888889,66.66666667,NULL,1
77.77777778,58.33333333,NULL,1
0,0,NULL,0
80.55555556,100,NULL,1
75,75,NULL,1
41.66666667,75,NULL,1
69.44444444,83.33333333,NULL,1
0,91.66666667,NULL,1
0,0,NULL,0
91.66666667,100,NULL,1
91.66666667,91.66666667,NULL,1
90,58.33333333,NULL,1
91,66.66666667,NULL,1
88,66.66666667,NULL,1
87,75,NULL,1
72,66.66666667,NULL,1
88,50,NULL,1
90,50,NULL,1
85,100,NULL,1
86,66.66666667,NULL,1
88,75,NULL,1
90,66.66666667,NULL,1
88,100,NULL,1
90,66.66666667,NULL,1
88,66.66666667,NULL,1
85,75,NULL,1
88,66.66666667,NULL,1
80,50,NULL,1
85,75,NULL,1
93,66.66666667,NULL,1
93,83.33333333,NULL,1
90,83.33333333,NULL,1
70,66.66666667,NULL,1
95,100,NULL,1
95,100,NULL,1
95,100,NULL,1
88,66.66666667,NULL,1
85,66.66666667,NULL,1
80,66.66666667,NULL,1
80,66.66666667,NULL,1
85,50,NULL,1
80,66.66666667,NULL,1
88,66.66666667,NULL,1
87,75,NULL,1
90,83.33333333,NULL,1
86,66.66666667,NULL,1
85,66.66666667,NULL,1
90,50,NULL,1
93,83.33333333,NULL,1
86,100,NULL,1
90,83.33333333,NULL,1
90,50,NULL,1
88,66.66666667,NULL,1
85,75,NULL,1
88,66.66666667,NULL,1
90,66.66666667,NULL,1
83,66.66666667,NULL,1
84,83.33333333,NULL,1
90,100,NULL,1
88,83.33333333,NULL,1
86,66.66666667,NULL,1
95,100,NULL,1
87,83.33333333,NULL,1
88,83.33333333,NULL,1
93,66.66666667,NULL,1
85,100,NULL,1
88,75,NULL,1
87,100,NULL,1
91,66.66666667,NULL,1
85,66.66666667,NULL,1
90,58.33333333,NULL,1
90,66.66666667,NULL,1
88,66.66666667,NULL,1
86,66.66666667,NULL,1
65,66.66666667,NULL,1
88,50,NULL,1
90,58.33333333,NULL,1
82,50,NULL,1
91,58.33333333,NULL,1
90,58.33333333,NULL,1
86,66.66666667,NULL,1
95,100,NULL,1
88,83.33333333,NULL,1
76,50,NULL,1
88,83.33333333,NULL,1
88,100,NULL,1
85,83.33333333,NULL,1
81,66.66666667,NULL,1
82,66.66666667,NULL,1
59,66.66666667,NULL,1
90,50,NULL,1
81,66.66666667,NULL,1
74,66.66666667,NULL,1
85,50,NULL,1
80,58.33333333,NULL,1
72,83.33333333,NULL,1
85,66.66666667,NULL,1
82,66.66666667,NULL,1
85,66.66666667,NULL,1
88,83.33333333,NULL,1
88,66.66666667,NULL,1
93,100,NULL,1
87,100,NULL,1
83,66.66666667,NULL,1
79,100,NULL,1
87,83.33333333,NULL,1
87,83.33333333,NULL,1
73,50,NULL,1
90,66.66666667,NULL,1
81,50,NULL,1
88,66.66666667,NULL,1
95,100,NULL,1
85,100,NULL,1
86,66.66666667,NULL,1
90,100,NULL,1
92,66.66666667,NULL,1
86,66.66666667,NULL,1
85,100,NULL,1
76,58.33333333,NULL,1
