Midterm_Percentage,Assignment_Percentage,Practical_Percentage,Actual_Result
0,0,60,NULL
0,0,36.7,NULL
0,0,55,NULL
0,0,65.15,NULL
0,0,55.35,NULL
0,0,60,NULL
0,0,41.3,NULL
0,0,60,NULL
0,0,67.6,NULL
0,0,0,NULL
0,0,0,NULL
0,0,52.5,NULL
0,0,73.25,NULL
0,0,81,NULL
0,0,69.3,NULL
0,0,6.75,NULL
0,0,82.5,NULL
0,0,80.85,NULL
0,0,85,NULL
0,0,68.75,NULL
0,0,82.5,NULL
0,0,86.25,NULL
0,0,83.75,NULL
0,0,82.5,NULL
0,0,83.75,NULL
0,0,58.75,NULL
0,0,86.25,NULL
0,0,81.25,NULL
0,0,81.25,NULL
0,0,77.5,NULL
0,0,83.75,NULL
0,0,66.25,NULL
0,0,90,NULL
0,0,80,NULL
0,0,86.25,NULL
0,0,80,NULL
0,0,76.25,NULL
0,0,57.5,NULL
0,0,87.5,NULL
0,0,85,NULL
0,0,73.75,NULL
0,0,62.5,NULL
0,0,68.75,NULL
0,0,70,NULL
0,0,50,NULL
0,0,72,NULL
0,0,60,NULL
0,0,60,NULL
0,0,40,NULL
0,0,70,NULL
0,0,80,NULL
0,0,80,NULL
0,0,84,NULL
0,0,65,NULL
0,0,65,NULL
0,0,NULL,NULL
0,0,65,NULL
0,0,40,NULL
0,0,89,NULL
0,0,45,NULL
0,0,50,NULL
0,0,65,NULL
0,0,50,NULL
0,0,40,NULL
0,0,50,NULL
0,0,88,NULL
0,0,40,NULL
0,0,40,NULL
0,0,40,NULL
0,0,40,NULL
0,0,40,NULL
0,0,40,NULL
0,0,50,NULL
0,0,55,NULL
0,0,55,NULL
0,0,50,NULL
0,0,67,NULL
0,0,60.5,NULL
0,0,55,NULL
0,0,40,NULL
0,0,60,NULL
0,0,60,NULL
0,0,50,NULL
0,0,52.5,NULL
0,0,58.5,NULL
0,0,NULL,NULL
0,0,55,NULL
0,0,50,NULL
0,0,40,NULL
0,0,50,NULL
0,0,60,NULL
0,0,67,NULL
0,0,51,NULL
0,0,60,NULL
0,0,50,NULL
0,0,70,NULL
0,0,50,NULL
0,0,50,NULL
0,0,82,NULL
0,0,70,NULL
0,0,60,NULL
0,0,40,NULL
0,0,54,NULL
0,0,70,NULL
0,0,80,NULL
0,0,50,NULL
0,0,50,NULL
0,0,70,NULL
0,0,60,NULL
0,0,78,NULL
0,0,65,NULL
0,0,40,NULL
0,0,75,NULL
0,0,55,NULL
0,0,60,NULL
0,0,57,NULL
0,0,60,NULL
0,0,40.5,NULL
0,0,40,NULL
49.66666667,110,58,1
45.33333333,101.75,65,1
35.83333333,81.75,70,1
0,0,41,0
65.75,107.75,48,1
19,86.375,46,1
0,9,42,0
16.83333333,67.125,40,1
18.25,45.875,NULL,1
32.91666667,49.25,40,1
51.16666667,85.875,50,1
47.5,74.625,70,1
29.25,60.625,50,1
0,0,40,0
49,66.25,40,1
19.75,43.5,60,1
38,89.75,40,1
0,34.375,60,0
36.08333333,89.5,42,1
39.5,79.125,45,1
14.58333333,62,69,1
47.91666667,95.5,70,1
37.25,83,45,1
17.58333333,49.625,50,1
24.08333333,48.125,70,1
39.5,79.5,40,1
24.83333333,67.125,65,1
21.91666667,68.25,60,1
32.91666667,81.875,60,1
1.5,0,58,0
26.41666667,82.25,65,1
4.416666667,34.375,55,0
26.41666667,82.25,60,1
30,59.375,60,1
11.66666667,61.625,50,1
26.33333333,78.625,45,1
32.16666667,81.875,40,1
10.25,57.25,75,1
19,53.625,50,1
11,45.875,45,1
0,34.375,40,0
16.66666667,87.5,60,1
13.91666667,69.625,55,1
18.25,66.25,55,1
24.08333333,43.25,55,1
16.08333333,66.25,0,1
45.33333333,95.375,50,1
45.33333333,96.75,70,1
61.41666667,113.625,40,1
18.25,44.625,80,1
8,45.75,58,0
40.25,93.75,50,1
6.583333333,81.875,50,1
16.83333333,54.875,40,1
27.75,62.875,45,1
12.41666667,41.25,50,1
15.33333333,60.625,50,1
22.66666667,34.125,45,0
27.5,100,47,1
45.83333333,97.875,70,0
17.58333333,62.5,0,1
24.83333333,54.875,65,1
34.33333333,67.875,50,1
16.83333333,41.25,55,0
37.5,91.625,50,0
16.83333333,52.125,52,1
21.16666667,51.125,75,1
53.33333333,103.625,17.5,1
8.75,0,50,0
40.25,92.625,42.5,1
19.75,75.125,78,1
5.833333333,29.75,58,0
26.41666667,83.5,62,1
17.58333333,39,65,1
30.66666667,81.875,80,1
11,42.375,55,1
33.66666667,69.375,55,1
27.08333333,66.5,80,1
0,54.375,58,0
50,101,50,1
13.91666667,61.625,62,1
30,87.5,60,1
15.33333333,53.75,NULL,1
5.833333333,0,NULL,0
38.91666667,91.625,NULL,1
3.666666667,50.375,NULL,0
7.333333333,75.5,NULL,1
2.916666667,29.75,NULL,0
27.75,84.375,NULL,1
7.333333333,43.5,NULL,1
50,101,NULL,1
26.33333333,85.375,NULL,1
34.16666667,50,NULL,1
0,0,NULL,0
8.75,50.875,NULL,0
48.58333333,98.875,NULL,1
2.166666667,22.875,NULL,0
27.75,83.375,NULL,1
2.916666667,55,NULL,1
9.5,54.875,NULL,1
8,61.625,NULL,1
9.5,32,NULL,0
34.75,89.5,NULL,1
2.166666667,0,NULL,0
63.91666667,111.375,NULL,1
5.083333333,39,NULL,0
34.75,89.5,NULL,1
6.583333333,49.25,8.35,1
43.08333333,95.75,55,1
10.25,38.875,63.75,1
34.75,88.5,53.35,1
5.083333333,40.125,50.2,1
62.5,110.375,67.5,1
0,45.875,56.9,0
50,101,69.6,1
20.5,68.375,57.7,1
6.583333333,47.875,62.5,1
43.08333333,95.75,48.75,1
4.416666667,39,50.2,0
22.25,87.5,60.65,1
16.83333333,61.625,62.9,1
0.75,2.25,65.85,0
1.5,0,60.65,0
16.66666667,125,45,1
11,48.125,68.35,0
58.33333333,107.25,63.35,1
16.83333333,55.625,46.05,1
0,0,64.4,0
75,119.75,50.2,1
81.91666667,125,63.75,1
55.58333333,105.125,53.35,1
79.16666667,122.875,56.9,1
77.75,121.875,45.65,1
79.16666667,122.875,48.55,1
75,118.75,49.15,1
77.75,121.875,62.7,1
68.08333333,114.5,66.9,1
58.33333333,106.625,45,1
77.75,121.875,47.5,1
41.66666667,94.75,52.7,1
68.08333333,114.5,48.55,1
76.41666667,120.75,57.5,1
56.91666667,106.25,69.15,1
45.83333333,97.875,42.5,1
45.83333333,104.125,40,1
33.33333333,87.5,61.25,1
69.41666667,115.625,0,1
65.25,111.375,46.65,1
70.83333333,116.625,66.25,1
0,62.5,60,0
51.41666667,101,48.75,1
75,119.75,80,1
59.75,120.75,55,1
31.91666667,87.5,53.35,1
59.75,108.25,65,1
31.91666667,87.5,62.5,1
55,62.5,51.75,1
41.66666667,90,69.75,1
50.83333333,75,61,1
52.5,75,40.5,1
45,50,54.75,1
57.5,87.5,66.75,1
56.66666667,100,40.5,1
61.66666667,100,59.75,1
56.66666667,105,53.5,1
59.16666667,81.25,40.15,1
58.33333333,81.25,40.25,1
NULL,NULL,55,1
49.16666667,81.25,40,1
29.16666667,50,66,1
61.66666667,110,62.25,1
34.16666667,56.25,40,1
33.33333333,62.5,40.25,1
47.5,81.25,40.5,1
22.5,62.5,55.75,1
28.33333333,50,27.75,1
36.66666667,62.5,90,1
61.66666667,110,53.5,1
44.16666667,50,40.5,1
20,65,40.75,1
26.66666667,50,58.25,1
19.16666667,67.5,55.5,1
25.83333333,50,40.15,0
46.5,76.375,40,1
37.5,62.5,65,1
42.5,68.75,40,1
42.5,68.75,54.5,1
40.83333333,62.5,56.5,1
45.83333333,83.75,47.75,1
37.5,75,40.4,1
34.16666667,68.75,46.75,1
27.5,50,42.25,1
46.66666667,75,55.75,1
36.66666667,75,70.25,1
36.66666667,62.5,40.75,1
37.5,65,40,1
35,72.5,40.6,1
NULL,NULL,40.35,1
35,68.75,45.65,1
28.33333333,62.5,46.5,1
17.5,50,40.35,0
20,62.5,40.75,1
28.33333333,75,53.5,1
34.16666667,83.75,40.6,1
23.33333333,62.5,63,1
35,75,55,1
40.83333333,62.5,55.25,1
49.16666667,87.5,44.25,1
27.5,62.5,57.5,1
28.33333333,62.5,40.05,1
45,103.75,57.5,1
46.66666667,87.5,53.75,1
52.5,75,40.25,1
26.66666667,50,54.5,1
33.33333333,68.75,42.75,1
58.33333333,87.5,73.75,1
62.5,102.5,44.5,1
33.33333333,62.5,40,1
36.66666667,62.5,40.65,1
46.66666667,87.5,40.65,1
36.66666667,77.5,66.75,1
57.5,97.5,14,1
30.83333333,81.25,68.5,1
35,50,42,1
54.16666667,93.75,63.25,1
36.66666667,68.75,59.75,1
35.83333333,75,58,1
38.33333333,72.5,52.5,1
36.66666667,75,82,1
35.83333333,50,40.25,1
34.16666667,50,57.75,1
35.83333333,72.5,59.75,1
30.83333333,81.25,46.75,1
36.66666667,87.5,64.25,1
24.16666667,62.5,0,1
30.83333333,61.25,65.5,1
30.83333333,57.5,63.25,1
25,52.5,87,1
26.66666667,50,37.5,0
NULL,NULL,40,0
20,50,68.75,0
33.33333333,62.5,53,1
49.16666667,87.5,67.75,1
40.83333333,62.5,65.5,1
27.5,50,67,1
22.5,50,40.2,1
41.66666667,77.5,68.75,1
8.333333333,62.5,48,1
39.16666667,75,43.75,1
27.5,52.5,75.75,1
28.33333333,56.25,40.15,1
